Symbol	HitsOnWSB	Company Name	industry	"Market Cap
"
FB	7983	Meta Platforms	Interactive Media & Services	"887.38B
"
GME	4729	GameStop	Specialty Retail	"8.60B
"
AMZN	3355	Amazon.com	Internet & Direct Marketing Retail	"""1,533.55B""
"
AMD	3181	Advanced Micro Devices	Semiconductors & Semiconductor Equipment	"141.02B
"
TSLA	2227	Tesla	Automobiles	"935.22B
"
PTON	2060	Peloton Interactive	Leisure Products	"9.25B
"
SNAP	1718	"""Snap, Inc."""	Interactive Media & Services	"54.19B
"
F	1267	Ford Motor Company	Automobiles	"82.56B
"
PYPL	1228	PayPal Holdings	IT Services	"206.55B
"
AMC	1209	AMC Entertainment Holdings	Entertainment	"8.65B
"
NVDA	1162	NVIDIA	Semiconductors & Semiconductor Equipment	"613.98B
"
DIS	1039	The Walt Disney Company	Entertainment	"263.04B
"
AAPL	946	Apple	"""Technology Hardware, Storage & Periph..."""	"""2,849.53B""
"
HOOD	930	Robinhood Markets	Software-Infrastructure	"12.24B
"
GOOG	773	Alphabet	Interactive Media & Services	"""1,827.60B""
"
GOOGL	765	Alphabet	Interactive Media & Services	"""1,829.82B""
"
MSFT	701	Microsoft	Software	"""2,314.73B""
"
MTCH	654	Match Group	Interactive Media & Services	"31.73B
"
TA	634	TravelCenters of America	Specialty Retail	"691.88M
"
AFRM	617	Affirm Holdings	IT Services	"18.96B
"
PLTR	603	Palantir Technologies	Software	"28.47B
"
U	596	Unity Software	Software	"31.50B
"
QCOM	523	Qualcomm	Semiconductors & Semiconductor Equipment	"199.29B
"
SPOT	522	Spotify Technology	Entertainment	"39.00B
"
RH	498	RH	Specialty Retail	"8.85B
"
BABA	495	Alibaba Group Holding	Internet & Direct Marketing Retail	"344.88B
"
NFLX	452	Netflix	Entertainment	"202.95B
"
DWAC	412	Digital World Acquisition	Blank Check / SPAC	"3.10B
"
SOFI	390	SoFi Technologies	Credit Services	"10.61B
"
PM	368	Philip Morris International	Tobacco	"160.74B
"
RBLX	357	Roblox	Electronic Gaming & Multimedia	"39.22B
"
GM	335	General Motors Company	Automobiles	"78.50B
"
BB	329	BlackBerry	Software	"4.66B
"
SQ	307	Block	IT Services	"58.86B
"
CRSR	290	Corsair Gaming	"""Technology Hardware, Storage & Periph..."""	"1.90B
"
YOU	282	Clear Secure	Software-Application	"1.92B
"
RIVN	280	Rivian Automotive	Auto Manufacturers	"61.50B
"
CLF	277	Cleveland-Cliffs	Metals & Mining	"9.22B
"
X	271	United States Steel	Metals & Mining	"5.83B
"
PFE	257	Pfizer	Pharmaceuticals	"297.88B
"
PINS	257	Pinterest	Interactive Media & Services	"19.57B
"
WISH	257	ContextLogic	Internet & Direct Marketing Retail	"1.84B
"
IS	249	ironSource	Software-Application	"7.08B
"
UPS	244	United Parcel Service	Air Freight & Logistics	"200.50B
"
TLRY	240	Tilray	Pharmaceuticals	"2.90B
"
NIO	233	NIO Inc.	Automobiles	"39.51B
"
TV	233	Grupo Televisa SAB	Media	"5.84B
"
TWTR	223	Twitter	Interactive Media & Services	"30.48B
"
V	218	"""Visa, Inc."""	IT Services	"503.18B
"
R	217	Ryder System	Road & Rail	"3.98B
"
UBER	217	Uber Technologies	Road & Rail	"74.91B
"
IMO	216	Imperial Oil	"""Oil, Gas & Consumable Fuels"""	"30.11B
"
SAVA	210	Cassava Sciences	Pharmaceuticals	"1.84B
"
C	208	Citigroup	Banks	"132.07B
"
ATVI	204	Activision Blizzard	Entertainment	"61.59B
"
SBUX	203	Starbucks	"""Hotels, Restaurants & Leisure"""	"114.02B
"
AI	199	C3.ai	Software	"2.80B
"
ALL	193	The Allstate Corporation	Insurance	"34.03B
"
L	192	Loews	Insurance	"15.37B
"
DKNG	187	DraftKings	"""Hotels, Restaurants & Leisure"""	"9.63B
"
IQ	186	iQIYI	Entertainment	"3.58B
"
AM	185	Antero Midstream	"""Oil, Gas & Consumable Fuels"""	"4.80B
"
IT	183	Gartner	IT Services	"24.32B
"
SHOP	183	Shopify	IT Services	"123.26B
"
CHGG	180	Chegg	Diversified Consumer Services	"3.94B
"
B	179	Barnes Group	Machinery	"2.30B
"
T	178	"""AT&T, Inc."""	Diversified Telecommunication Services	"174.38B
"
INTC	174	Intel	Semiconductors & Semiconductor Equipment	"199.32B
"
XOM	170	Exxon Mobil	"""Oil, Gas & Consumable Fuels"""	"344.39B
"
EA	159	Electronic Arts	Entertainment	"36.75B
"
TD	157	The Toronto-Dominion Bank	Banks	"148.78B
"
UK	156	Ucommune International	Real Estate Services	"53.83M
"
NET	155	Cloudflare	Software	"32.96B
"
CMG	151	Chipotle Mexican Grill	"""Hotels, Restaurants & Leisure"""	"42.55B
"
AR	150	Antero Resources	"""Oil, Gas & Consumable Fuels"""	"6.31B
"
RSI	149	Rush Street Interactive	Gambling	"659.48M
"
OG	147	Onion Global	Software-Application	"185.64M
"
J	139	Jacobs Engineering Group	Construction & Engineering	"16.84B
"
UP	138	Wheels Up Experience	Airports & Air Services	"970.67M
"
ON	137	ON Semiconductor	Semiconductors & Semiconductor Equipment	"25.70B
"
SI	133	Silvergate Capital	Banks	"3.37B
"
BP	128	BP plc	"""Oil, Gas & Consumable Fuels"""	"104.18B
"
CLOV	126	"""Clover Health Investments,"""	Healthcare Plans	"1.32B
"
LCID	126	Lucid Group	Auto Manufacturers	"49.33B
"
SPCE	126	Virgin Galactic Holdings	Aerospace & Defense	"2.51B
"
Z	123	Zillow Group	Interactive Media & Services	"13.05B
"
SENS	122	Senseonics Holdings	Health Care Equipment & Supplies	"1.21B
"
CVS	118	CVS Health	Health Care Providers & Services	"140.28B
"
O	118	Realty Income	Equity Real Estate Investment Trusts...	"39.11B
"
CC	117	The Chemours Company	Chemicals	"5.47B
"
DTE	116	DTE Energy Company	Multi-Utilities	"22.95B
"
D	112	Dominion Energy	Multi-Utilities	"64.82B
"
NYC	112	New York City REIT	REIT-Office	"150.57M
"
Y	112	Alleghany	Insurance	"9.23B
"
IBKR	111	Interactive Brokers Group	Capital Markets	"29.27B
"
G	109	Genpact	IT Services	"9.36B
"
LFG	106	Archaea Energy	Utilities-Renewable	"944.91M
"
TWLO	104	Twilio	IT Services	"37.55B
"
S	103	SentinelOne	Software-Infrastructure	"12.52B
"
ARE	102	Alexandria Real Estate Equities	Equity Real Estate Investment Trusts...	"31.22B
"
MU	102	Micron Technology	Semiconductors & Semiconductor Equipment	"91.21B
"
RC	97	Ready Capital	Mortgage Real Estate Investment Trus...	"1.20B
"
IP	96	International Paper Company	Containers & Packaging	"18.61B
"
DOW	91	Dow Inc.	Chemicals	"45.44B
"
OR	88	Osisko Gold Royalties	Metals & Mining	"1.85B
"
PT	87	Pintec Technology Holdings	Consumer Finance	"22.16M
"
SO	87	The Southern Company	Electric Utilities	"72.06B
"
APPS	85	Digital Turbine	Software	"4.38B
"
K	84	Kellogg Company	Food Products	"21.57B
"
UWMC	83	UWM Holdings	Mortgage Finance	"7.91B
"
E	82	Eni SpA	"""Oil, Gas & Consumable Fuels"""	"53.70B
"
ONE	82	OneSmart International Education Group	Diversified Consumer Services	"28.17M
"
FOR	80	Forestar Group	Real Estate Management & Development	"1.01B
"
ME	80	23andMe Holding Co.	Diagnostics & Research	"2.27B
"
WE	79	WeWork	Real Estate Services	"6.13B
"
ZIM	79	ZIM Integrated Shipping Services	Marine	"8.13B
"
KO	78	The Coca-Cola Company	Beverages	"261.58B
"
MSM	78	MSC Industrial Direct Company	Trading Companies & Distributors	"4.64B
"
UI	77	Ubiquiti	Communications Equipment	"18.44B
"
W	77	Wayfair	Internet & Direct Marketing Retail	"16.99B
"
LYFT	76	"""Lyft, Inc."""	Road & Rail	"13.43B
"
M	76	Macy's	Multiline Retail	"7.84B
"
GL	75	Globe Life	Insurance	"10.38B
"
ICE	75	Intercontinental Exchange	Capital Markets	"71.57B
"
RKT	75	Rocket Companies	Thrifts & Mortgage Finance	"24.54B
"
ENPH	74	Enphase Energy	Semiconductors & Semiconductor Equipment	"19.25B
"
NOW	74	ServiceNow	Software	"116.72B
"
DM	69	Desktop Metal	Computer Hardware	"1.36B
"
NVAX	67	Novavax	Biotechnology	"7.20B
"
SP	67	SP Plus	Commercial Services & Supplies	"638.17M
"
ANY	66	Sphere 3D	Software	"147.25M
"
COIN	66	Coinbase Global	Software-Application	"51.79B
"
BIG	64	Big Lots	Multiline Retail	"1.33B
"
MRNA	64	Moderna	Biotechnology	"70.04B
"
HUGE	63	FSD Pharma	IT Services	"34.78M
"
GO	62	Grocery Outlet Holding	Food & Staples Retailing	"2.44B
"
MA	62	Mastercard	IT Services	"384.16B
"
MS	62	Morgan Stanley	Capital Markets	"184.20B
"
OI	60	O-I Glass	Containers & Packaging	"2.13B
"
BYND	59	Beyond Meat	Food Products	"4.24B
"
SNDL	59	Sundial Growers	Pharmaceuticals	"1.01B
"
BBBY	58	Bed Bath & Beyond	Specialty Retail	"1.65B
"
ASTR	56	Astra Space	Aerospace & Defense	"1.30B
"
NKLA	56	Nikola	Auto Manufacturers	"3.41B
"
RCL	56	Royal Caribbean Cruises	"""Hotels, Restaurants & Leisure"""	"20.70B
"
REAL	56	The RealReal	Internet & Direct Marketing Retail	"905.40M
"
BE	55	Bloom Energy	Electrical Equipment	"2.67B
"
RIOT	55	Riot Blockchain	Software	"1.95B
"
JPM	54	JPMorgan Chase & Co.	Banks	"445.00B
"
MTTR	54	Matterport	Software-Application	"2.50B
"
ROKU	54	"""Roku, Inc."""	Entertainment	"22.34B
"
TIL	53	Instil Bio	Biotechnology	"1.57B
"
JP	52	Jupai Holdings	Capital Markets	"26.58M
"
DIDI	51	DiDi Global	Software-Application	"17.41B
"
GET	51	Getnet Adquirencia E Servicos Para Meios De Pagamento	"""Data Processing, Hosting, and Related..."""	"1.19B
"
NOK	51	Nokia	Communications Equipment	"33.47B
"
OPEN	51	Opendoor Technologies	Real Estate Management & Development	"6.62B
"
ABNB	50	Airbnb	"""Hotels, Restaurants & Leisure"""	"99.72B
"
ES	50	Eversource Energy	Electric Utilities	"30.24B
"
UPST	50	Upstart Holdings	Consumer Finance	"9.62B
"
CS	48	Credit Suisse Group AG	Capital Markets	"23.35B
"
IBM	48	International Business Machines	IT Services	"121.48B
"
MGM	48	MGM Resorts International	"""Hotels, Restaurants & Leisure"""	"20.71B
"
SAFE	48	Safehold	Equity Real Estate Investment Trusts...	"3.53B
"
CHWY	47	Chewy	Internet & Direct Marketing Retail	"20.00B
"
TSM	47	Taiwan Semiconductor Manufacturing Company	Semiconductors & Semiconductor Equipment	"638.14B
"
DDOG	46	Datadog	Software	"46.11B
"
AA	45	Alcoa	Metals & Mining	"10.71B
"
BA	45	The Boeing Company	Aerospace & Defense	"122.69B
"
CRM	45	Salesforce.com	Software	"228.64B
"
CAN	44	Canaan	"""Technology Hardware, Storage & Periph..."""	"774.10M
"
FCF	44	First Commonwealth Financial	Banks	"1.57B
"
MSTR	44	MicroStrategy	Software	"4.18B
"
RTX	43	Raytheon Technologies	Aerospace & Defense	"135.80B
"
VERY	43	Vericity	Insurance	"90.89M
"
MARA	42	Marathon Digital Holdings	IT Services	"2.57B
"
MCD	42	McDonald's	"""Hotels, Restaurants & Leisure"""	"193.53B
"
CCL	41	Carnival	"""Hotels, Restaurants & Leisure"""	"24.52B
"
BBIG	40	Vinco Ventures	Leisure	"475.59M
"
GS	40	The Goldman Sachs Group	Capital Markets	"121.44B
"
JD	40	JD.com	Internet & Direct Marketing Retail	"116.62B
"
ADP	39	Automatic Data Processing	IT Services	"86.42B
"
BAC	39	Bank of America	Banks	"379.17B
"
EVER	39	EverQuote	Interactive Media & Services	"487.54M
"
HIMX	39	Himax Technologies	Semiconductors & Semiconductor Equipment	"1.88B
"
LMT	39	Lockheed Martin	Aerospace & Defense	"105.39B
"
CPA	38	Copa Holdings	Airlines	"3.59B
"
ET	38	Energy Transfer LP	"""Oil, Gas & Consumable Fuels"""	"31.18B
"
SF	38	Stifel Financial	Capital Markets	"8.13B
"
DASH	37	DoorDash	Internet & Direct Marketing Retail	"39.32B
"
HR	36	Healthcare Realty Trust	Equity Real Estate Investment Trusts...	"4.48B
"
ID	36	PARTS iD	Specialty Retail	"69.66M
"
MO	35	Altria Group	Tobacco	"92.33B
"
NGL	35	NGL Energy Partners LP	"""Oil, Gas & Consumable Fuels"""	"309.73M
"
RKLB	35	Rocket Lab USA	Aerospace & Defense	"4.28B
"
TTWO	35	Take-Two Interactive Software	Entertainment	"18.50B
"
VIAC	35	ViacomCBS	Media	"21.95B
"
HD	34	The Home Depot	Specialty Retail	"385.01B
"
LOVE	34	The Lovesac Company	Household Durables	"834.49M
"
OUT	34	OUTFRONT Media	Equity Real Estate Investment Trusts...	"3.60B
"
GOOD	33	Gladstone Commercial	Equity Real Estate Investment Trusts...	"862.76M
"
WMT	33	Walmart	Food & Staples Retailing	"390.87B
"
COST	32	Costco Wholesale	Food & Staples Retailing	"225.45B
"
HAS	32	Hasbro	Leisure Products	"13.04B
"
LEAP	32	Ribbit LEAP	Shell Companies	"450.87M
"
PEG	32	Public Service Enterprise Group	Multi-Utilities	"33.51B
"
SE	32	Sea Limited	Entertainment	"88.65B
"
SKLZ	32	Skillz	Entertainment	"1.93B
"
STEM	32	"""Stem, Inc."""	Software-Infrastructure	"1.82B
"
BY	31	Byline Bancorp	Banks	"1.01B
"
HOG	31	Harley-Davidson	Automobiles	"5.53B
"
TTD	31	The Trade Desk	Software	"36.60B
"
XLNX	31	Xilinx	Semiconductors & Semiconductor Equipment	"49.26B
"
AKA	30	a.k.a. Brands Holding	Internet Retail	"977.72M
"
CAT	30	Caterpillar	Machinery	"111.08B
"
CP	30	Canadian Pacific Railway	Road & Rail	"66.45B
"
SNOW	30	Snowflake	IT Services	"86.92B
"
ETSY	29	"""Etsy, Inc."""	Internet & Direct Marketing Retail	"19.29B
"
JMIA	29	Jumia Technologies AG	Internet & Direct Marketing Retail	"935.64M
"
MRO	29	Marathon Oil	"""Oil, Gas & Consumable Fuels"""	"16.08B
"
TMUS	29	T-Mobile US	Wireless Telecommunication Services	"136.83B
"
ZM	29	Zoom Video Communications	Software	"46.39B
"
APR	28	Apria	Medical Instruments & Supplies	"1.32B
"
FUBO	28	FuboTV	Software	"1.80B
"
LNG	28	Cheniere Energy	"""Oil, Gas & Consumable Fuels"""	"29.18B
"
MVST	28	Microvast Holdings	Electrical Equipment & Parts	"1.84B
"
VS	28	Versus Systems	Electronic Gaming & Multimedia	"33.60M
"
BROS	27	Dutch Bros	Restaurants	"9.55B
"
CGC	27	Canopy Growth	Pharmaceuticals	"3.36B
"
FANG	27	Diamondback Energy	"""Oil, Gas & Consumable Fuels"""	"23.59B
"
MF	27	Missfresh	Grocery Stores	"708.71M
"
PENN	27	Penn National Gaming	"""Hotels, Restaurants & Leisure"""	"8.01B
"
THC	27	Tenet Healthcare	Health Care Providers & Services	"8.00B
"
CIA	26	Citizens	Insurance	"234.01M
"
H	26	Hyatt Hotels	"""Hotels, Restaurants & Leisure"""	"10.21B
"
OXY	26	Occidental Petroleum	"""Oil, Gas & Consumable Fuels"""	"36.70B
"
RE	26	Everest Re Group	Insurance	"11.20B
"
SONO	26	Sonos	Household Durables	"3.28B
"
BBQ	25	BBQ Holdings	"""Hotels, Restaurants & Leisure"""	"155.33M
"
BRK.A	25	Berkshire Hathaway	Diversified Financial Services	"701.31B
"
API	24	Agora	"""Electronic Equipment, Instruments & C..."""	"1.31B
"
ASML	24	ASML Holding	Semiconductors & Semiconductor Equipment	"277.00B
"
CROX	24	Crocs	"""Textiles, Apparel & Luxury Goods"""	"6.10B
"
HUT	24	Hut 8 Mining	Capital Markets	"1.08B
"
NEW	24	Puxin	Diversified Consumer Services	"19.48M
"
SPG	24	Simon Property Group	Equity Real Estate Investment Trusts...	"48.43B
"
TDOC	24	Teladoc Health	Health Care Technology	"12.86B
"
BRO	23	Brown & Brown	Insurance	"18.83B
"
CB	23	Chubb	Insurance	"83.20B
"
DNA	23	Ginkgo Bioworks Holdings	Biotechnology	"9.25B
"
DOCU	23	DocuSign	Software	"25.23B
"
ELY	23	Callaway Golf Company	Leisure Products	"4.50B
"
GPRO	23	GoPro	Household Durables	"1.44B
"
MC	23	Moelis & Company	Capital Markets	"3.91B
"
SAVE	23	Spirit Airlines	Airlines	"2.43B
"
TSN	23	Tyson Foods	Food Products	"33.06B
"
AAL	22	American Airlines Group	Airlines	"10.90B
"
CLNE	22	Clean Energy Fuels	"""Oil, Gas & Consumable Fuels"""	"1.41B
"
FREE	22	Whole Earth Brands	Packaged Foods	"371.31M
"
NG	22	NovaGold Resources	Metals & Mining	"2.21B
"
MLM	21	Martin Marietta Materials	Construction Materials	"24.36B
"
NYT	21	The New York Times Company	Media	"6.89B
"
PUMP	21	ProPetro Holding	Energy Equipment & Services	"1.17B
"
SJW	21	SJW Group	Water Utilities	"2.01B
"
XL	21	XL Fleet	Auto Parts	"306.72M
"
AG	20	First Majestic Silver	Metals & Mining	"2.65B
"
BOX	20	"""Box, Inc."""	Software	"3.87B
"
COTY	20	Coty Inc.	Personal Products	"7.01B
"
HE	20	Hawaiian Electric Industries	Electric Utilities	"4.58B
"
TM	20	Toyota Motor	Automobiles	"271.44B
"
TWO	20	Two Harbors Investment	Mortgage Real Estate Investment Trus...	"1.96B
"
WH	20	Wyndham Hotels & Resorts	"""Hotels, Restaurants & Leisure"""	"7.97B
"
WWE	20	World Wrestling Entertainment	Entertainment	"3.79B
"
AN	19	AutoNation	Specialty Retail	"7.12B
"
BNTX	19	BioNTech SE	Biotechnology	"43.56B
"
BRK.B	19	Berkshire Hathaway	Diversified Financial Services	"701.36B
"
CVX	19	Chevron	"""Oil, Gas & Consumable Fuels"""	"259.83B
"
FL	19	Foot Locker	Specialty Retail	"4.46B
"
LUV	19	Southwest Airlines Company	Airlines	"26.74B
"
MD	19	MEDNAX	Health Care Providers & Services	"2.09B
"
OC	19	Owens Corning	Building Products	"9.04B
"
WOW	19	WideOpenWest	Media	"1.64B
"
BK	18	Bank of New York Mellon	Capital Markets	"48.80B
"
CME	18	CME Group	Capital Markets	"83.39B
"
EBAY	18	eBay Inc.	Internet & Direct Marketing Retail	"37.86B
"
GE	18	General Electric Company	Industrial Conglomerates	"107.56B
"
ML	18	MoneyLion	Software-Application	"617.04M
"
PSFE	18	Paysafe	Information Technology Services	"2.75B
"
SDC	18	SmileDirectClub	Health Care Equipment & Supplies	"1.13B
"
TGT	18	Target	Multiline Retail	"105.04B
"
UNH	18	UnitedHealth Group	Health Care Providers & Services	"441.17B
"
ALGN	17	Align Technology	Health Care Equipment & Supplies	"40.10B
"
BEST	17	BEST Inc.	Air Freight & Logistics	"354.77M
"
BTI	17	British American Tobacco	Tobacco	"99.15B
"
CBOE	17	Cboe Global Markets	Capital Markets	"12.63B
"
KSCP	17	Knightscope	Industrials	"383.86M
"
PEP	17	PepsiCo	Beverages	"238.29B
"
RAD	17	Rite Aid	Food & Staples Retailing	"605.24M
"
RIDE	17	Lordstown Motors	Auto Manufacturers	"605.53M
"
TEAM	17	Atlassian	Software	"82.60B
"
WTI	17	W&T Offshore	"""Oil, Gas & Consumable Fuels"""	"636.38M
"
BOOM	16	DMC Global	Energy Equipment & Services	"782.99M
"
COO	16	The Cooper Companies	Health Care Equipment & Supplies	"19.55B
"
CRWD	16	CrowdStrike Holdings	Software	"41.77B
"
NEXT	16	NextDecade	"""Oil, Gas & Consumable Fuels"""	"286.05M
"
NXPI	16	NXP Semiconductors NV	Semiconductors & Semiconductor Equipment	"55.37B
"
PAY	16	Paymentus Holdings	"""Electronic Equipment, Instruments & C..."""	"3.45B
"
PCT	16	PureCycle Technologies	Pollution & Treatment Controls	"768.90M
"
SU	16	Suncor Energy	"""Oil, Gas & Consumable Fuels"""	"43.57B
"
UAA	16	Under Armour	"""Textiles, Apparel & Luxury Goods"""	"8.36B
"
VC	16	Visteon	Auto Components	"2.88B
"
WM	16	Waste Management	Commercial Services & Supplies	"62.65B
"
ZG	16	Zillow Group	Interactive Media & Services	"13.06B
"
BJ	15	BJ's Wholesale Club Holdings	Food & Staples Retailing	"8.38B
"
BMBL	15	Bumble	Software-Application	"5.60B
"
CASH	15	Meta Financial Group	Thrifts & Mortgage Finance	"1.84B
"
FDX	15	FedEx	Air Freight & Logistics	"66.77B
"
FORD	15	Forward Industries	"""Textiles, Apparel & Luxury Goods"""	"16.00M
"
GCP	15	GCP Applied Technologies	Chemicals	"2.35B
"
GGPI	15	Gores Guggenheim	Shell Companies	"1.05B
"
HP	15	Helmerich & Payne	Energy Equipment & Services	"3.26B
"
HUBS	15	HubSpot	Software	"23.17B
"
III	15	Information Services Group	IT Services	"326.78M
"
SONY	15	Sony Group	Household Durables	"139.52B
"
UA	15	Under Armour	"""Textiles, Apparel & Luxury Goods"""	"8.35B
"
UBS	15	UBS Group AG	Capital Markets	"70.29B
"
USB	15	U.S. Bancorp	Banks	"87.96B
"
VALE	15	Vale S.A.	Metals & Mining	"76.05B
"
WEN	15	The Wendy's Company	"""Hotels, Restaurants & Leisure"""	"5.11B
"
XM	15	Qualtrics International	Software-Application	"17.14B
"
ZNGA	15	Zynga	Entertainment	"10.25B
"
BC	14	Brunswick	Leisure Products	"7.09B
"
BCH	14	Banco de Chile	Banks	"10.22B
"
CL	14	Colgate-Palmolive Company	Household Products	"69.05B
"
ED	14	Consolidated Edison	Multi-Utilities	"30.44B
"
GD	14	General Dynamics	Aerospace & Defense	"59.10B
"
GOOS	14	Canada Goose Holdings	"""Textiles, Apparel & Luxury Goods"""	"3.43B
"
KC	14	Kingsoft Cloud Holdings	IT Services	"2.07B
"
MAN	14	ManpowerGroup	Professional Services	"5.92B
"
MAT	14	Mattel	Leisure Products	"7.48B
"
MP	14	MP Materials	Metals & Mining	"7.18B
"
PSA	14	Public Storage	Equity Real Estate Investment Trusts...	"62.31B
"
SIRI	14	Sirius XM Holdings	Media	"27.04B
"
TELL	14	Tellurian	"""Oil, Gas & Consumable Fuels"""	"1.22B
"
AXP	13	American Express Company	Consumer Finance	"139.67B
"
CD	13	Chindata Group Holdings	Information Technology Services	"1.88B
"
CHPT	13	ChargePoint Holdings	Specialty Retail	"4.71B
"
COP	13	ConocoPhillips	"""Oil, Gas & Consumable Fuels"""	"120.74B
"
FOX	13	Fox Corporation	Media	"22.16B
"
GFS	13	GlobalFoundries	Semiconductors	"26.64B
"
HON	13	Honeywell International	Industrial Conglomerates	"141.36B
"
IR	13	Ingersoll Rand	Machinery	"23.15B
"
JAN	13	JanOne	Commercial Services & Supplies	"8.45M
"
LULU	13	Lululemon Athletica	"""Textiles, Apparel & Luxury Goods"""	"44.59B
"
PG	13	The Procter & Gamble Company	Household Products	"382.91B
"
PLUG	13	Plug Power	Electrical Equipment	"13.20B
"
ST	13	Sensata Technologies Holding	Electrical Equipment	"9.08B
"
TX	13	Ternium	Metals & Mining	"8.12B
"
ABC	12	AmerisourceBergen	Health Care Providers & Services	"28.78B
"
ACB	12	Aurora Cannabis	Pharmaceuticals	"886.31M
"
ALOT	12	AstroNova	"""Technology Hardware, Storage & Periph..."""	"98.94M
"
BILL	12	Bill.com Holdings	Software	"19.87B
"
CERN	12	Cerner	Health Care Technology	"26.73B
"
CRSP	12	CRISPR Therapeutics AG	Biotechnology	"5.01B
"
DT	12	Dynatrace	Software	"16.04B
"
EM	12	Smart Share Global	Personal Services	"461.46M
"
HAL	12	Halliburton Company	Energy Equipment & Services	"28.08B
"
LAZR	12	Luminar Technologies	Software-Application	"5.36B
"
NE	12	Noble	Oil & Gas Drilling	"1.58B
"
NU	12	Nu Holdings	Banks-Diversified	"34.84B
"
PH	12	Parker-Hannifin	Machinery	"40.77B
"
SA	12	Seabridge Gold	Metals & Mining	"1.26B
"
SEE	12	Sealed Air	Containers & Packaging	"10.07B
"
TECH	12	Bio-Techne	Life Sciences Tools & Services	"15.78B
"
ATI	11	Allegheny Technologies	Metals & Mining	"2.39B
"
CAR	11	Avis Budget Group	Road & Rail	"10.10B
"
CBD	11	Companhia Brasileira de Distribuicao	Food & Staples Retailing	"1.18B
"
DTC	11	Solo Brands	Internet Retail	"763.94M
"
FAST	11	Fastenal Company	Trading Companies & Distributors	"32.52B
"
GAME	11	Engine Gaming & Media	Software	"48.62M
"
KBH	11	KB Home	Household Durables	"3.66B
"
MOD	11	Modine Manufacturing Company	Auto Components	"487.94M
"
NKE	11	"""Nike, Inc."""	"""Textiles, Apparel & Luxury Goods"""	"234.38B
"
QS	11	QuantumScape	Auto Components	"7.41B
"
RNG	11	RingCentral	Software	"16.39B
"
SLQT	11	SelectQuote	Insurance Brokers	"1.23B
"
YUM	11	Yum! Brands	"""Hotels, Restaurants & Leisure"""	"36.23B
"
ASO	10	Academy Sports and Outdoors	Specialty Retail	"3.58B
"
AUR	10	Aurora Innovation	Information Technology Services	"5.62B
"
BLNK	10	Blink Charging Co.	Specialty Retail	"881.56M
"
DAL	10	Delta Air Lines	Airlines	"25.91B
"
FUN	10	"""Cedar Fair,"""	"""Hotels, Restaurants & Leisure"""	"3.20B
"
GOGL	10	Golden Ocean Group	Marine	"1.92B
"
JOE	10	The St. Joe Company	Real Estate Management & Development	"2.84B
"
LIFE	10	aTyr Pharma	Biotechnology	"160.63M
"
MOVE	10	Movano	Internet Software & Services	"83.40M
"
MVIS	10	MicroVision	"""Electronic Equipment, Instruments & C..."""	"569.44M
"
NCLH	10	Norwegian Cruise Line Holdings	"""Hotels, Restaurants & Leisure"""	"9.01B
"
POWW	10	AMMO Inc.	Leisure Products	"535.28M
"
PSTH	10	Pershing Square Tontine Holdings	Diversified Financial Services	"3.97B
"
RELY	10	Remitly Global	Software-Infrastructure	"2.09B
"
RUN	10	SunRun	Electrical Equipment	"5.38B
"
SD	10	SandRidge Energy	"""Oil, Gas & Consumable Fuels"""	"440.09M
"
SST	10	System1	Shell Companies	"190.95M
"
TRT	10	Trio-Tech International	Semiconductors & Semiconductor Equipment	"27.26M
"
XELA	10	Exela Technologies	IT Services	"223.09M
"
XPEV	10	XPeng	Automobiles	"31.17B
"
AMGN	9	Amgen	Biotechnology	"128.81B
"
ARVL	9	Arrival	Auto Manufacturers	"2.86B
"
CCJ	9	Cameco	"""Oil, Gas & Consumable Fuels"""	"8.05B
"
CF	9	CF Industries Holdings	Chemicals	"15.97B
"
FA	9	First Advantage	Specialty Business Services	"2.59B
"
FAT	9	FAT Brands	"""Hotels, Restaurants & Leisure"""	"169.16M
"
FSR	9	Fisker	Insurance	"3.55B
"
GPS	9	The Gap	Specialty Retail	"6.83B
"
IRBT	9	iRobot	Household Durables	"1.77B
"
ITT	9	ITT Inc.	Machinery	"7.94B
"
LAC	9	Lithium Americas	Metals & Mining	"3.60B
"
LDI	9	loanDepot	Mortgage Finance	"602.09M
"
LOW	9	Lowe's Companies	Specialty Retail	"160.59B
"
MIT	9	Mason Industrial Technology	Blank Check / SPAC	"610.00M
"
MRVL	9	Marvell Technology	Semiconductors & Semiconductor Equipment	"61.11B
"
MT	9	ArcelorMittal	Metals & Mining	"28.70B
"
ORCL	9	Oracle	Software	"216.41B
"
PD	9	PagerDuty	Software	"2.86B
"
POW	9	Powered Brands	Blank Check / SPAC	"337.41M
"
RDFN	9	Redfin	Real Estate Management & Development	"3.25B
"
TTM	9	Tata Motors	Automobiles	"25.58B
"
UPWK	9	Upwork	Professional Services	"3.62B
"
BCC	8	Boise Cascade Company	Paper & Forest Products	"2.99B
"
CO	8	Global Cord Blood	Health Care Providers & Services	"505.65M
"
CSCO	8	Cisco Systems	Communications Equipment	"233.53B
"
DAO	8	Youdao	Diversified Consumer Services	"1.76B
"
DOCN	8	DigitalOcean Holdings	Software-Infrastructure	"6.32B
"
DPZ	8	Domino's Pizza	"""Hotels, Restaurants & Leisure"""	"16.66B
"
