Symbol	HitsOnWSB	Company Name	industry	"Market Cap
"
SMP	0	Standard Motor Products	Auto Components	"1.05B
"
SMPL	0	The Simply Good Foods Company	Food Products	"3.63B
"
SMSI	0	Smith Micro Software	Software	"224.81M
"
SMTC	0	Semtech	Semiconductors & Semiconductor Equipment	"4.63B
"
SMTI	0	Sanara MedTech	Medical Instruments & Supplies	"176.38M
"
SMTS	0	Sierra Metals	Metals & Mining	"208.34M
"
SMWB	0	Similarweb	Internet Content & Information	"1.06B
"
SNAX	0	Stryve Foods	Packaged Foods	"30.39M
"
SNBR	0	Sleep Number	Specialty Retail	"1.65B
"
SNCE	0	Science 37	Health Information Services	"917.66M
"
SNCR	0	Synchronoss Technologies	Software	"177.57M
"
SND	0	Smart Sand	Energy Equipment & Services	"89.63M
"
SNDA	0	Sonida Senior Living	Medical Care Facilities	"192.47M
"
SNDR	0	Schneider National	Road & Rail	"4.58B
"
SNDX	0	Syndax Pharmaceuticals	Biotechnology	"907.17M
"
SNEX	0	StoneX Group	Capital Markets	"1.33B
"
SNFCA	0	Security National Financial	Thrifts & Mortgage Finance	"189.86M
"
SNGX	0	Soligenix	Biotechnology	"27.43M
"
SNII	0	Supernova Partners Acquisition Company II	Blank Check / SPAC	"430.39M
"
SNMP	0	Evolve Transition Infrastructure LP	"""Oil, Gas & Consumable Fuels"""	"48.52M
"
SNN	0	Smith & Nephew	Health Care Equipment & Supplies	"15.01B
"
SNOA	0	Sonoma Pharmaceuticals	Pharmaceuticals	"11.86M
"
SNPO	0	Snap One Holdings	Electronics & Computer Distribution	"1.43B
"
SNPS	0	Synopsys	Software	"47.85B
"
SNPX	0	Synaptogenix	Biotechnology	"67.35M
"
SNRH	0	Senior Connect Acquisition I	Blank Check / SPAC	"506.63M
"
SNSE	0	Sensei Biotherapeutics	Biotechnology	"152.07M
"
SNT	0	Senstar Technologies	"""Electronic Equipment, Instruments & C..."""	"58.15M
"
SNTG	0	Sentage Holdings	Credit Services	"11.20M
"
SNV	0	Synovus Financial	Banks	"7.33B
"
SNX	0	Synnex	"""Electronic Equipment, Instruments & C..."""	"10.04B
"
SNY	0	Sanofi	Pharmaceuticals	"129.34B
"
SOHO	0	Sotherly Hotels	Equity Real Estate Investment Trusts...	"36.28M
"
SOHU	0	Sohu.com	Interactive Media & Services	"718.13M
"
SOI	0	Solaris Oilfield Infrastructure	Energy Equipment & Services	"255.98M
"
SOND	0	Sonder Holdings	Lodging	"84.02M
"
SONM	0	Sonim Technologies	"""Technology Hardware, Storage & Periph..."""	"11.52M
"
SONN	0	Sonnet BioTherapeutics Holdings	Biotechnology	"20.39M
"
SONX	0	Sonendo	Medical Devices	"200.61M
"
SOPA	0	Society Pass	Software-Application	"94.57M
"
SOPH	0	SOPHiA GENETICS	Health Information Services	"753.52M
"
SOTK	0	Sono-Tek	"""Electronic Equipment, Instruments & C..."""	"96.99M
"
SOVO	0	Sovos Brands	Packaged Foods	"1.48B
"
SPAQ	0	Spartan Acquisition III	Blank Check / SPAC	"685.52M
"
SPB	0	Spectrum Brands Holdings	Household Products	"3.69B
"
SPCB	0	SuperCom	"""Electronic Equipment, Instruments & C..."""	"14.76M
"
SPFI	0	South Plains Financial	Banks	"502.26M
"
SPGI	0	S&P Global	Capital Markets	"100.61B
"
SPGS	0	Simon Property Group Acquisition Holdings	Blank Check / SPAC	"420.04M
"
SPH	0	Suburban Propane Partners	Gas Utilities	"947.60M
"
SPI	0	SPI Energy Co.	Semiconductors & Semiconductor Equipment	"74.69M
"
SPK	0	SPK Acquisition	Blank Check / SPAC	"78.30M
"
SPKB	0	Silver Spike Acquisition II	Blank Check / SPAC	"352.91M
"
SPLK	0	Splunk	Software	"19.69B
"
SPLP	0	Steel Partners Holdings LP	Industrial Conglomerates	"732.47M
"
SPNE	0	SeaSpine Holdings	Health Care Equipment & Supplies	"435.12M
"
SPNS	0	Sapiens International	Software	"1.75B
"
SPNT	0	SiriusPoint	Insurance-Reinsurance	"1.37B
"
SPOK	0	Spok Holdings	Wireless Telecommunication Services	"191.11M
"
SPRB	0	Spruce Biosciences	Biotechnology	"62.18M
"
SPRC	0	SciSparc	Biotechnology	"789.61M
"
SPRO	0	Spero Therapeutics	Biotechnology	"361.38M
"
SPSC	0	SPS Commerce	Software	"4.48B
"
SPTK	0	SportsTek Acquisition	Blank Check / SPAC	"209.37M
"
SPTN	0	SpartanNash Company	Food & Staples Retailing	"907.60M
"
SPWH	0	Sportsman's Warehouse Holdings	Specialty Retail	"483.56M
"
SPXC	0	SPX Corporation	Machinery	"2.38B
"
SQFT	0	Presidio Property Trust	REIT-Diversified	"44.26M
"
SQM	0	Sociedad Quimica y Minera de Chile	Chemicals	"16.20B
"
SQNS	0	Sequans Communications	Semiconductors & Semiconductor Equipment	"164.11M
"
SQSP	0	Squarespace	Software-Infrastructure	"4.62B
"
SQZ	0	SQZ Biotechnologies Company	Biotechnology	"223.97M
"
SRAD	0	Sportradar Group AG	Software-Application	"4.04B
"
SRAX	0	"""SRAX, Inc."""	Media	"130.22M
"
SRC	0	Spirit Realty Capital	Equity Real Estate Investment Trusts...	"6.02B
"
SRCE	0	1st Source	Banks	"1.23B
"
SRCL	0	Stericycle	Commercial Services & Supplies	"5.45B
"
SRDX	0	SurModics	Health Care Equipment & Supplies	"634.76M
"
SREV	0	ServiceSource International	IT Services	"101.05M
"
SRG	0	Seritage Growth Properties	Equity Real Estate Investment Trusts...	"452.02M
"
SRGA	0	Surgalign Holdings	Medical Devices	"103.07M
"
SRI	0	Stoneridge	Auto Components	"507.42M
"
SRL	0	Scully Royalty	Capital Markets	"129.57M
"
SRLP	0	Sprague Resources LP	"""Oil, Gas & Consumable Fuels"""	"465.14M
"
SRPT	0	Sarepta Therapeutics	Biotechnology	"6.47B
"
SRRA	0	Sierra Oncology	Biotechnology	"461.31M
"
SRRK	0	Scholar Rock Holding	Biotechnology	"653.01M
"
SRSA	0	Sarissa Capital Acquisition	Blank Check / SPAC	"244.75M
"
SRT	0	Startek	IT Services	"198.31M
"
SRTS	0	Sensus Healthcare	Health Care Equipment & Supplies	"135.76M
"
SRZN	0	Surrozen	Biotechnology	"79.16M
"
SSAA	0	Science Strategic Acquisition Alpha	Blank Check / SPAC	"378.23M
"
SSBI	0	Summit State Bank	Banks	"108.63M
"
SSBK	0	Southern States Bancshares	Banks-Regional	"186.57M
"
SSKN	0	STRATA Skin Sciences	Health Care Equipment & Supplies	"52.08M
"
SSNC	0	SS&C Technologies Holdings	Software	"20.39B
"
SSNT	0	SilverSun Technologies	Software	"16.95M
"
SSP	0	The E.W. Scripps Company	Media	"1.68B
"
SSRM	0	SSR Mining	Metals & Mining	"3.54B
"
SSTI	0	ShotSpotter	Software	"307.54M
"
SSTK	0	Shutterstock	Internet & Direct Marketing Retail	"3.54B
"
SSU	0	SIGNA Sports United	Specialty Retail	"323.44M
"
SSY	0	SunLink Health Systems	Health Care Providers & Services	"9.39M
"
SSYS	0	Stratasys	"""Technology Hardware, Storage & Periph..."""	"1.58B
"
STAA	0	STAAR Surgical Company	Health Care Equipment & Supplies	"3.53B
"
STAB	0	Statera Biopharma	Biotechnology	"46.49M
"
STAF	0	Staffing 360 Solutions	Professional Services	"14.50M
"
STAG	0	Stag Industrial	Equity Real Estate Investment Trusts...	"7.39B
"
STBA	0	S&T Bancorp	Banks	"1.23B
"
STCN	0	Steel Connect	IT Services	"72.53M
"
STE	0	Steris	Health Care Equipment & Supplies	"22.57B
"
